Query_ID,Query,Generated_Answer,Latency_Seconds,Top_1_Page_Accuracy,Top_3_Page_Accuracy,Top_5_Page_Accuracy,Page_Recall,BLEU_Score,ROUGE_L_F1,BERTScore_F1
valve_cover_leak,Oil leaking from valve cover gaskets.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.234,1,1,1,1,0.0,0.0,0.829
oil_change_neglect,What happens when you don’t change your oil?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.214,0,1,1,1,0.0,0.0,0.826
oil_change_interval,When to change your oil?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.237,0,1,1,1,0.005,0.034,0.828
synthetic_oil,Which type of oil to use?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.209,0,0,0,0,0.0,0.039,0.828
heater_cold_air,My heater is blowing cold air. What to do?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.276,0,0,0,0,0.0,0.0,0.825
air_lock_coolant,How to fix an air lock in the cooling system?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.309,0,0,0,0,0.0,0.0,0.818
heater_core_clog,How to diagnose a clogged heater core?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.358,0,0,0,0,0.0,0.0,0.823
rough_idle_injectors,My car has a rough idle. Could it be dirty fuel injectors?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.285,0,0,0,0,0.014,0.115,0.851
rough_idle_spark,Rough idle caused by spark plugs.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.215,0,0,0,0,0.0,0.043,0.828
pcv_valve,What is a PCV valve and how does it affect idle?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.323,0,0,0,0,0.007,0.039,0.831
vacuum_leak,How to find a vacuum leak causing rough idle?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.274,0,0,0,0,0.007,0.077,0.829
motorcycle_jerk,My scooter slows down or jerks when I accelerate.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.698,0,0,0,0,0.0,0.0,0.826
heavy_bike_shutoff,My heavy bike shuts off suddenly while riding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.564,0,0,0,0,0.0,0.0,0.825
truck_knocking,My truck engine is making a knocking sound.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.525,0,1,1,1,0.006,0.118,0.845
ebike_charging,My electric bike doesn’t charge properly.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.466,0,0,1,1,0.0,0.0,0.831
bike_vibration,My motorcycle vibrates a lot when idle.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.229,0,0,0,0,0.0,0.0,0.822
bike_weak_brakes,My bike’s brakes feel weak even after replacing brake pads.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.242,0,0,0,0,0.0,0.0,0.823
moped_uphill,My moped loses power when going uphill.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",1.311,0,0,0,0,0.0,0.0,0.825
escooter_shutdown,My electric scooter suddenly stopped while riding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.237,0,1,1,1,0.007,0.041,0.829
bike_overheat,My bike engine is overheating.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.336,0,1,1,1,0.006,0.038,0.827
bike_battery_no_charge,My bike battery isn’t charging.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.724,0,1,1,1,0.0,0.04,0.833
bike_spark_plug,"My bike won’t start, maybe due to spark plug.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.762,0,0,0,0,0.0,0.0,0.831
bike_kickstart,My bike’s kickstart is not working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.212,0,1,1,1,0.005,0.071,0.834
bike_flat_tire,I got a flat tyre while riding my bike.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.22,0,0,0,0,0.006,0.077,0.833
bike_chain_noise,My bike chain is noisy or keeps slipping.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.217,0,1,1,1,0.0,0.0,0.829
bike_clutch_weak,"My clutch feels weak, and the bike isn’t picking up speed.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.336,0,0,1,1,0.0,0.0,0.835
bike_headlight_fail,My headlight suddenly stopped working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.272,0,0,1,1,0.0,0.0,0.834
bike_brake_fail,My brakes failed while riding!,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.295,0,0,0,0,0.0,0.0,0.825
bike_fuel_leak,I noticed fuel leaking from my bike.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.632,0,1,1,1,0.007,0.08,0.83
bike_gear_stuck,My bike gears are hard to shift or getting stuck.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.239,0,0,1,1,0.0,0.0,0.828
carburetor_drip,Fuel is dripping from the carburetor.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.22,0,0,0,0,0.0,0.0,0.833
bike_smoke,My exhaust is releasing black or white smoke.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.41,0,1,1,1,0.0,0.078,0.828
bike_wobbly_handle,My bike’s handle feels shaky or wobbly while riding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.268,0,0,1,1,0.0,0.0,0.827
bike_self_start,My bike’s self-start button is not working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.263,0,0,1,1,0.007,0.041,0.817
touring_knocking,I hear a knocking sound from my touring bike’s engine.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.266,1,1,1,1,0.0,0.0,0.835
clutch_stuck,My clutch feels stuck or the bike moves forward when I try to shift.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.222,0,1,1,1,0.0,0.0,0.824
radiator_overheat_bike,My radiator is overheating. What should I do?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.211,0,0,0,0,0.008,0.043,0.828
abs_light_bike,The ABS light is on while riding. Is it safe?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.229,0,0,0,0,0.008,0.042,0.834
chain_skipping,My chain jumps or skips while accelerating.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.245,0,0,0,0,0.0,0.0,0.823
suspension_bottoms,My suspension bottoms out on bumps.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.282,0,0,0,0,0.0,0.0,0.827
foggy_headlight,My headlight is foggy from the inside.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.236,0,0,0,0,0.007,0.041,0.828
touring_choking,My touring bike feels like it’s choking or has poor pickup.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.261,0,1,1,1,0.0,0.0,0.827
pannier_rattle,My panniers or luggage mounts are rattling.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.307,0,0,0,0,0.0,0.0,0.828
throttle_dead_spot,There’s a dead spot when I twist the throttle.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.274,0,0,1,1,0.0,0.0,0.818
cruise_control_fail,My cruise control won’t turn on.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.319,0,0,0,0,0.0,0.0,0.828
handlebar_shake,My handlebar shakes at high speed.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.275,0,0,0,0,0.0,0.0,0.829
slipper_clutch,My slipper clutch isn’t working smoothly.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.26,0,0,0,0,0.0,0.044,0.829
windshield_rattle,I hear rattling near the windshield while riding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.188,0,0,0,0,0.009,0.047,0.83
sidestand_sensor,My bike won’t start unless I fiddle with the side stand.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.23,0,0,0,0,0.0,0.0,0.828
ebike_drain,My electric bike battery drains too fast.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.396,1,1,1,1,0.0,0.0,0.826
ebike_wont_turn_on,My electric bike won’t turn on.,"Step 1: Check battery voltage and charge level.
Step 2: Inspect wiring and connections for damage or...",0.627,0,0,0,0,0.316,0.52,0.93
throttle_no_response,My bike turns on but the throttle doesn’t respond.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.272,0,0,0,0,0.0,0.0,0.829
battery_overheat,My battery pack is overheating. Is that normal?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.378,0,0,0,0,0.0,0.0,0.825
ebike_wont_charge,My electric bike won’t charge.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.245,0,0,0,0,0.0,0.0,0.827
motor_noise,My motor is making strange noise or vibrations.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.268,0,0,0,0,0.0,0.0,0.828
power_loss_ebike,My bike lost power suddenly while riding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.267,0,0,0,0,0.009,0.044,0.829
display_dead,The display screen stopped working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.509,0,0,0,0,0.0,0.0,0.836
regen_fail,Regenerative braking isn’t working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.327,0,0,0,0,0.0,0.043,0.828
ebike_horn_light,My horn and lights are not working.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.297,0,0,0,0,0.0,0.0,0.824
ebike_error_code,I see an error code on the screen. What does it mean?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.249,0,0,0,0,0.0,0.044,0.833
eco_mode_fail,Eco mode isn’t switching.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.26,0,0,0,0,0.0,0.0,0.841
ebike_jerky,My ride feels jerky and speed is unstable.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.216,0,0,0,0,0.008,0.043,0.833
rear_brake_drag,The rear brake is dragging while I ride.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.243,0,0,0,0,0.0,0.0,0.825
bike_puncture,My bike tyre got punctured. What should I do now?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.262,0,0,0,0,0.008,0.044,0.834
worn_brake_pads,I think my brake pads are worn out. Is it dangerous?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.332,0,0,0,0,0.0,0.0,0.83
loose_handle,The handle feels loose or wobbly. What should I do?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.203,0,0,0,0,0.0,0.0,0.827
indicator_fail_bike,My headlight or indicator isn’t working. What now?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.253,0,0,0,0,0.0,0.0,0.829
loose_chain_safe,My bike chain feels loose. Is it safe to ride?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.265,0,0,0,0,0.0,0.0,0.825
bike_wont_start_check,My bike won’t start. What’s the first thing to check?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.227,0,0,0,0,0.0,0.0,0.831
engine_stalls_bike,The engine stalls often. What could be wrong?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.21,0,0,0,0,0.0,0.0,0.831
horn_stopped,My bike horn suddenly stopped. How do I fix it?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.583,0,0,0,0,0.0,0.0,0.837
loose_mirror,One of my mirrors is loose or broken. Is it okay to ride?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.534,0,0,0,0,0.008,0.044,0.835
seat_lock_jam,My seat lock is jammed and won’t open.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.254,0,0,0,0,0.0,0.045,0.826
bus_tire_losing_air,My bus tyre is rapidly losing air but hasn’t gone flat yet.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.337,0,0,0,0,0.0,0.0,0.83
trailer_tire_wear,My trailer tyres have uneven wear patterns.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.53,0,0,0,0,0.0,0.0,0.83
truck_brakes_soft,My truck brakes feel soft and unresponsive.,"Step 1: Check brake fluid level.
Step 2: Inspect brake pads and rotors for wear.
Step 3: Bleed brake...",1.571,0,0,1,1,0.248,0.625,0.931
brake_fade_bus,My bus brakes overheat after long downhill drive causing fade.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.251,1,1,1,1,0.0,0.0,0.826
air_brake_warning,My truck’s air brake warning light is on. Is it dangerous?,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.215,0,0,0,0,0.0,0.0,0.83
truck_steam_radiator,My truck overheated and steam is coming from the radiator.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.318,0,0,0,0,0.0,0.0,0.836
truck_stalls_random,My truck stalls randomly on the road.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.489,0,0,0,0,0.0,0.0,0.823
truck_power_loss_hill,My heavy-duty truck lost power while climbing a hill.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.241,0,0,0,0,0.0,0.0,0.828
bus_wont_start,My bus won’t start and only clicks when I turn the key.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",1.08,0,0,0,0,0.0,0.0,0.824
van_lights_flicker,My van’s lights flicker while idling.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.191,0,0,0,0,0.0,0.0,0.825
dashboard_blank,The dashboard in my truck went blank while driving.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.266,0,0,0,0,0.0,0.0,0.83
diesel_oil_leak,My diesel truck is leaking oil under the engine.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.245,0,1,1,1,0.0,0.0,0.823
van_trans_fluid,My van transmission fluid is low and gear shifts are grinding.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.285,0,0,0,0,0.0,0.0,0.832
truck_ps_whine,My truck’s power steering is making whining noises.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.36,0,0,0,0,0.0,0.0,0.824
bus_black_smoke,My bus is emitting black smoke from the exhaust.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.222,0,0,0,0,0.0,0.0,0.83
defroster_fail,"My truck’s defroster isn’t working, and windows fog in cold weather.","I'm your automotive diagnostic assistant, so I can only help with vehicle-related questions. 
      ...",0.001,0,0,0,0,0.0,0.0,0.742
trailer_lights,My trailer lights don’t work.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.763,0,0,0,0,0.0,0.0,0.833
trailer_sway,The trailer hitch felt loose and the trailer swayed on the highway.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.267,0,0,0,0,0.0,0.0,0.823
truck_gear_pop,My heavy truck gear keeps popping out while driving.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.205,0,0,0,0,0.0,0.0,0.827
van_clutch_spongy,My van clutch pedal feels spongy and shifting’s hard.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.287,0,0,0,0,0.0,0.0,0.828
bus_front_vibrate,My bus front end is vibrating at speed.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.292,0,0,0,0,0.0,0.0,0.827
truck_bottoms_out,My truck bottoms out over bumps.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.447,0,0,0,0,0.0,0.0,0.832
trailer_air_line,My trailer coupling air line disconnected while hauling.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.29,0,0,0,0,0.0,0.0,0.828
coolant_in_oil,My truck shows coolant in engine oil.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.503,0,0,0,0,0.0,0.0,0.831
fuel_tank_leak,Fuel tank on my bus has a leak.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.181,0,0,0,0,0.0,0.048,0.824
trailer_deck_sag,My trailer deck is sagging under load.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.449,0,0,0,0,0.0,0.0,0.833
exhaust_co,My truck’s exhaust is leaking carbon monoxide.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.251,0,0,0,0,0.0,0.0,0.833
truck_loss_ps_fluid,My truck lost power steering fluid and steering is heavy.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.33,0,0,0,0,0.0,0.0,0.826
catalytic_glow,My van’s catalytic converter is glowing red.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.292,0,0,0,0,0.0,0.047,0.825
indicator_one_side,My indicator/blinker is not working on one side.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.301,0,0,0,0,0.0,0.0,0.831
indicators_both_fail,Both my indicators are not functioning.,"Step 1: Check the indicator fuse in the fuse box.
Step 2: Inspect the flasher relay and wiring for d...",0.631,0,1,1,1,0.045,0.431,0.916
headlight_fail,My headlight is not turning on at all.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.281,0,1,1,1,0.0,0.0,0.829
high_beam_only,"My high beam works, but the low beam doesn’t.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.307,0,1,1,1,0.0,0.0,0.83
taillight_fail,My taillight or brake light is not lighting up.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.248,1,1,1,1,0.0,0.0,0.83
plate_light,The number plate light is off.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.63,1,1,1,1,0.0,0.0,0.832
dashboard_lights,"My dashboard lights (speedometer, fuel gauge) are not glowing.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.311,0,0,0,0,0.0,0.0,0.825
fuel_gauge_stuck,The fuel gauge needle is stuck or not showing anything.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.283,0,0,0,0,0.009,0.047,0.837
reverse_light_fail,The reverse light doesn’t work when I shift to reverse.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.342,0,0,0,0,0.0,0.0,0.833
lights_flicker,My vehicle has flickering lights while driving.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.201,0,0,0,0,0.0,0.0,0.826
dim_lights_load,All lights go dim when I turn on the headlight.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.245,0,0,0,0,0.0,0.0,0.831
bulb_new_fail,"I changed the bulb, but the light is still not working.","I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.283,0,0,0,0,0.0,0.0,0.828
cabin_light_auto,My interior cabin light doesn’t turn on automatically.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.236,0,0,0,0,0.0,0.0,0.828
engine_overheat_drive,My engine is overheating while driving.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.237,0,0,0,0,0.0,0.0,0.831
heater_cold,My car's heater is blowing cold air.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.261,0,0,0,0,0.0,0.0,0.828
radiator_fan_fail,The radiator fan is not turning on.,"I apologize, but I don't have specific technical information in my database regarding this issue. I ...",0.239,1,1,1,1,0.0,0.0,0.823
